First_Level_Chinese,First_Level_English,Second_Level_Chinese,Second_Level_English,Description_2nd,Third_Level_Chinese,Third_Level_English,Description_3rd,Fourth_Level_Chinese,Fourth_Level_English,Description_4th,Label
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人基本概况信息,Basic Personal Information,指个人基本情况数据，如个人姓名、性别、国籍、《海外账户纳税法案》 (FATCA)有关个人身份数据、民族、婚姻状况、证件类型、证件号码、证件生效日期、证件到期日期、家庭住址等。,M3_C2_BPI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,单位管理层信息,Company Management Information,指企业经营管理层主要组成人员、实际控制人信息数据，如其姓名、证件类型、证件号码、联系人、联系方式等。,M3_C2_CMI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人财产信息,Personal Property Information,指个人的财产数据，如个人收入状况、拥有的不动产状况、拥有的车辆状况、VIN码、纳税额、公积金缴存金额、个人社保与医保存缴金额等。,M3_C2_PPI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人联系信息,Personal Contact Information,指个人各类通信联系方式数据，如手机、固定电话、电子邮箱地址、微信号、通讯记录和内容等。,M3_C2_PCOI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人健康生理信息,Personal Health Physiological Information,指个人生病医治过程中产生的相关记录数据，如病症、住院志、医嘱单、检验报告、手术及麻醉记录、护理记录、用药记录、药物食物过敏信息、生育信息、以往病史、诊治情况、家族病史、现病史、传染病史等，以及与个人身体健康状况相关的其他信息，如吸烟史等。,M4__PHPI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人地理位置信息,Personal Geographic Location Information,指描述能具体定位到个人的地理位置数据，如包含所在国家、城市、区域、街道、行踪轨迹、经纬度等维度信息下的常在位置和当前位置等。,M3_C2_PGLI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人就学信息,Personal Education Information,指个人受教育情况的记录数据，如入学日期、毕业日期、就学的学校名称、就学的学校院系、学历、学位及学科信息等。,M2_C1_PEI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人职业信息,Personal Occupation Information,指个人就职的历史记录数据，如工作单位、工作开始日期、工作结束日期、职位、工作地点、收入情况（含收入值）等。,M2_C1_POI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人资质证书信息,Personal Qualification Certificate Information,指个人获得资质证书的记录数据，如资质证书的编号、颁发机构、生效日期、到期日期等。,M2_C1_PQCI
客户,Customer,个人,Personal,指金融业机构提供各种业务服务的自然人对象相关的各类信息,个人自然信息,PersonalNaturalInformation,指个人的自然属性信息，即个人本身具有的属性，而非在金融业机构业务开展过程中产生的属性信息。,个人党政信息,Personal Party And Government Information,指个人政治面貌相关数据，如党派所属、加入党派时间等。,M2_C1_PPAGI
